clouds,datetime,dewpt,dhi,dni,ghi,pres,rh,slp,temp,wind_gust_spd,wind_spd,precip
18,01/01/2021,4.1,40,331,210,1025,56,1025,13.2,8,1.9,0
17,02/01/2021,7,40,331,211,1022,66,1022,14,6.4,1.4,0
90,03/01/2021,9.7,40,332,211,1021,74,1021,14.6,7.2,1.6,0
98,04/01/2021,9.4,41,332,212,1020,59,1021,17.7,6,1,0
100,05/01/2021,13.6,41,332,212,1020,76,1020,18.1,5.6,1,0
94,06/01/2021,12.5,41,333,213,1018,73,1019,17.5,5.6,1,0
100,07/01/2021,11.2,41,333,213,1019,84,1019,14,8.8,1.4,0
97,08/01/2021,4.2,41,334,214,1025,65,1025,10.7,10.8,2.6,0
94,09/01/2021,1.3,41,334,215,1024,53,1025,10.5,8,1.9,0
95,10/01/2021,0.7,41,335,216,1024,49,1024,11,7.6,2.1,0
98,11/01/2021,-0.8,41,335,216,1028,42,1028,12,13.2,2.5,0
75,12/01/2021,0.8,41,336,217,1025,41,1026,14.1,10.4,1.8,0
36,13/01/2021,6.3,41,336,218,1018,58,1019,15,6.8,1.4,0
45,14/01/2021,11.7,41,337,219,1017,79,1017,15.5,6.4,1.3,0
82,15/01/2021,14.2,41,337,220,1015,88,1015,16.3,5.6,1.2,0
89,16/01/2021,14.5,41,338,221,1015,81,1016,18.1,5.6,1.1,0
97,17/01/2021,10.9,41,338,222,1024,73,1024,15.9,14,2.4,1
39,18/01/2021,5,42,339,223,1024,53,1024,14.7,9.6,1.9,0
6,19/01/2021,9.8,42,340,224,1018,72,1019,15.5,7.2,1.4,0
74,20/01/2021,14.4,42,340,225,1016,85,1017,17.1,6,1.5,0
98,21/01/2021,16.2,42,341,226,1015,88,1015,18.3,3.6,1.1,0
70,22/01/2021,15.3,42,342,227,1015,80,1015,18.9,5.6,1.3,0
37,23/01/2021,15,42,342,228,1014,81,1014,18.7,6.4,1.3,0
41,24/01/2021,16.4,42,343,229,1013,81,1013,19.9,9.6,2.2,0
95,25/01/2021,18.5,42,344,230,1015,89,1015,20.4,8.8,1.9,0
86,26/01/2021,17.7,42,344,231,1016,87,1016,19.9,8.4,1.6,0
74,27/01/2021,16.7,42,345,232,1016,81,1016,20.3,7.2,1.8,0
97,28/01/2021,15.2,42,346,234,1020,81,1020,18.5,9.2,1.8,1
98,29/01/2021,13.2,43,347,235,1020,75,1021,17.8,6.4,1.5,0
92,30/01/2021,15.6,43,347,236,1019,87,1019,17.8,10,1.4,0
92,31/01/2021,17.2,43,348,237,1019,88,1019,19.3,9.2,1.4,0
70,01/02/2021,17.7,43,349,239,1018,84,1018,20.5,7.2,2,0
73,02/02/2021,17.5,43,350,240,1018,86,1019,20,7.6,1.7,0
72,03/02/2021,17.2,43,350,241,1019,83,1019,20.3,7.6,1.4,0
75,04/02/2021,17.8,43,351,243,1020,84,1020,20.6,6.8,1.2,0
62,05/02/2021,17.2,43,352,244,1018,83,1018,20.4,8,1.5,0
61,06/02/2021,16.5,43,353,246,1017,82,1017,19.8,6.4,1.1,0
65,07/02/2021,16.8,44,353,247,1016,78,1016,20.9,6.8,1.5,0
94,08/02/2021,17.8,44,354,248,1017,81,1017,21.3,8.4,1.6,0
88,09/02/2021,15.2,44,355,250,1016,94,1017,16.2,13.2,2.3,21
30,10/02/2021,14.3,44,356,251,1015,78,1015,18.5,9.6,1.4,0
51,11/02/2021,15,44,356,253,1016,83,1017,18.2,5.2,1.6,0
43,12/02/2021,15.1,44,357,254,1016,77,1016,19.6,5.6,1.5,0
59,13/02/2021,14.6,44,358,255,1016,77,1016,19.1,7.6,1.5,0
56,14/02/2021,15.6,44,359,257,1016,72,1016,21.2,5.2,1.2,0
81,15/02/2021,17.4,45,359,258,1013,81,1014,20.9,9.2,1.5,0
93,16/02/2021,17.9,45,360,260,1014,81,1015,21.4,8.8,1.3,0.5
90,17/02/2021,16.7,45,361,261,1019,81,1019,20.2,8.4,1.5,0
95,18/02/2021,15.2,45,362,263,1023,73,1023,20.3,8.8,1.1,0
